Collegeid,Collegename,Collegetype,Ranking,City,State,Pincode
1,University Departments of Anna University,E,1,Chennai,Tamilnadu,600025
2,University Departments of Anna University,E,1,Chennai,Tamilnadu,600025
4,University Departments of Anna University,E,1,Kancheepuram,Tamilnadu,600044
1015,University College of Engineering,E,1,Thiruvannamalai,Tamilnadu,632326
1122,Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College,E,1,Chennai,Tamilnadu,600062
1124,SAMS College of Engineering and Technology,E,1,Thiruvallur,Tamilnadu,601102
1127,St. Peters College of Engineering and Technology,E,1,Chennai,Tamilnadu,600054
1133,Annai Veilankannis College of Engineering,E,1,Chennai,Tamilnadu,600048
1149,St. Josephs Institute of Technology,E,1,Chennai,Tamilnadu,600119
1150,Sri Jayaram Institute of Engineering and Technology,E,1,Thiruvallur,Tamilnadu,601201
1207,Kings Engineering College,E,1,Kancheepuram,Tamilnadu,602105
1211,Rajalakshmi Engineering College (Autonomous),E,1,Kancheepuram,Tamilnadu,602105
1212,Rajiv Gandhi College of Engineering,E,1,Kancheepuram,Tamilnadu,602105
1213,S K R Engineering College,E,1,Chennai,Tamilnadu,600123
1216,Saveetha Engineering College (Autonomous),E,1,Kancheepuram,Tamilnadu,602105
1219,Sri Venkateswara College of Engineering (Autonomous),E,1,Kancheepuram,Tamilnadu,602117
1222,P B College of Engineering,E,1,Kancheepuram,Tamilnadu,602105
1225,Loyola Institute of Technology,E,1,Chennai,Tamilnadu,600123
1232,A R M College of Engineering and Technology,E,1,Kancheepuram,Tamilnadu,603209
1238,GRT Institute of Engineering and Technology,E,1,Thiruvallur,Tamilnadu,631209
1303,Anand Institute of Higher Technology,E,1,Kancheepuram,Tamilnadu,603103
1101,Aalim Muhammed Salegh College of Engineering,E,1,Chennai,Tamilnadu,600055
1123,Gojan School of Business and Technology,E,1,Chennai,Tamilnadu,600062
1131,Vel Tech,E,1,Chennai,Tamilnadu,600062
1221,Jaya College of Engineering and Technology,E,1,Chennai,Tamilnadu,600056
1230,Apollo Engineering College,E,1,Kancheepuram,Tamilnadu,602105
