collegeid,courseid,OC,BC,BCM,MBC,SC,SCA,ST
1,CE,189.75,188.5,186,186,183,152.5,171.5
2,AP,174,166.5,168,155.5,139,113.5,0
1,XM,176,169.75,163.5,158,138,0,0
2,CL,187,185,182,179,163.5,138.5,0
4,EC,193.5,192,190,190,183.75,173.5,161.5
1015,EC,127,99,0,93.5,106,107,0
1122,CS,148.5,134,114,112,98.5,139,0
1124,ME,102,0,0,0,0,0,0
1127,EC,81,0,0,0,0,0,0
1127,IT,126.5,104.5,87.5,0,106.5,0,0
1133,CE,82,0,0,0,0,0,0
1149,CE,98,0,0,0,0,0,0
1150,AG,87.5,80,0,86.5,82.5,0,107
1207,EC,106.5,80,88,80,80.5,103,0
1211,BT,165,151.5,132,116,113,0,86
1211,CB,169.5,165.5,149.5,142.5,106,0,0
1211,CH,164,148.5,140.5,128.5,115,0,0
1212,PE,94,0,0,0,0,0,0
1213,ME,82,0,0,0,0,0,0
1216,CH,125.5,97.5,0,103.5,100.5,0,119
1219,CS,189,186.5,178.5,178,144.5,113,141.5
1222,AE,101,85,0,80,80.5,87,0
1222,AU,84,0,0,0,0,0,0
1225,EC,122.5,97,81,87,98,0,0
1225,ME,105,80,90,80,82,95,0
1232,CS,80.5,0,0,0,0,0,0
1238,ME,80,0,0,0,0,0,0
1303,EC,84,0,0,0,0,0,0
1238,EC,104,81,0,84,82,103,0
4,AS,183.5,180,177,174.5,159,123.5,0
4,AE,192,190,185.5,185,179,166,0
1101,ME,86.5,0,85.5,0,0,0,0
1123,CE,95,0,0,0,0,0,0
1123,ME,80,0,0,0,0,0,0
1124,MR,141.5,140.5,0,113.5,125.5,0,0
1131,ME,141.5,110,112.5,92.5,106,0,0
1150,BM,83.5,0,0,80.5,81.5,0,0
1207,IT,111,83,96.5,90.5,85,0,0
1216,MD,118,87,109.5,85.5,93,94,0
1219,EE,179,175,169.5,166.5,124,104,0
1221,CS,100,0,0,0,0,0,0
1230,EE,109,85.5,0,90,0,0,0
1233,CS,150.5,131,102,86.5,107,0,0
1233,ME,105.5,80,0,88,0,0,0
1303,ME,87.5,0,0,0,0,0,0
1,MN,184,180,178.5,176.5,163.25,144.5,0
2,TX,173,165,159.5,164.5,142,133.5,139.5
1110,CS,124,101.5,0,94.5,89,0,0
1120,AU,79,0,0,0,0,0,0
1120,ME,114,89,94.5,93.5,80,0,0
1126,EC,79,0,0,0,0,0,0
1211,ME,151.5,132.5,108,121.5,96.5,112.5,0
1212,EE,87,0,0,0,0,0,0
1230,EC,89.5,80.5,80,80,80,0,0
1237,EC,115,81,108.5,93,0,0,0
1237,IT,129.5,123,112.5,107,0,0,0
5,CE,116.5,85,111.5,83,96.5,0,0
5,CS,139,106,81,115.5,112,107,0
1014,CS,130.5,113.5,104.5,118,100.5,0,0
1101,CE,97.5,0,92.5,85.5,0,0,0
1114,IT,130,118.5,124,102,89,0,0
1115,ME,80,0,0,0,0,0,0
1118,BM,176,152,149,148.5,131,0,0
1120,CE,107.5,0,0,0,0,0,0
1122,EC,131.5,115.5,0,92.5,83,89.5,0
1127,ME,80,0,0,0,0,0,0
1140,ME,82,0,0,0,0,0,0
1150,FD,80.5,0,0,0,0,0,0
1206,CS,84.5,83.5,0,80,0,0,0
1210,CS,173,167,153,150.5,118,87.5,109
1210,ME,135.5,110.5,92,90,90.5,112,0
1214,IT,92,0,0,0,0,0,0
1216,CE,87.5,0,0,0,0,0,0
1232,ME,80.5,0,0,0,0,0,0
1301,IT,104,91.5,99,0,0,0,0
1,MA,183,178.5,181.5,172,168.5,134.5,0
1,CS,198,196.5,197.5,194.75,190.25,0,171
1,IE,185,183,181.5,178,164.25,156.5,0
2,IS,190,184,180,172.25,163.75,138.5,0
4,AU,187.5,185,179,177.5,170,155.5,150
5,CZ,104.5,0,0,87.5,82,0,0
4,EI,190,188.5,187,185,170,143,0
5,EE,115,84,109,87,91.5,94,0
5,ME,120.5,82.5,94,94,104.5,86,0
5,MM,82.5,0,0,80,79,0,0
1106,AE,94,0,0,0,0,0,0
1101,CS,124,96.5,123,95,113.5,0,0
1110,IT,115.5,95.5,110,97.5,0,0,0
1115,EC,80,0,0,0,0,0,0
1114,CS,130,115,113.5,109,80,0,0
1115,EE,99,0,0,0,0,0,0
1116,CS,115.5,89,0,78,80,0,0
1116,EC,80,0,0,0,0,0,0
1121,EE,82.5,0,0,0,0,0,0
1122,CE,79,0,0,0,0,0,0
1123,IT,96,83.5,0,88.5,86.5,0,0
1150,ME,80,0,0,0,0,0,0
1210,EC,165.5,157,141.5,145,102.5,116.5,0
1212,AU,113.5,0,0,0,0,0,0
1212,ME,81,0,0,0,129,0,0
1213,IT,80,0,0,0,0,0,0
1217,BT,83.5,0,0,0,0,0,0
1218,ME,80,0,0,0,0,0,0
1219,IT,186,183,172.5,172.5,132,102,132.5
1219,ME,180.5,176.5,162,161,134.5,0,120
